File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-fe9c0b.o,94.037918%,66813,11431,66568,90,155,11276
mf_w.l,2.370195%,1684,0,1684,0,0,0
startup_at32f415.o,0.568622%,404,1024,36,368,0,1024
dadd.o,0.470098%,334,0,334,0,0,0
mc_w.l,0.326535%,232,0,232,0,0,0
dmul.o,0.320905%,228,0,228,0,0,0
depilogue.o,0.261791%,186,0,186,0,0,0
fadd.o,0.247716%,176,0,176,0,0,0
fepilogue.o,0.154823%,110,0,110,0,0,0
fmul.o,0.140748%,100,0,100,0,0,0
dfixi.o,0.087264%,62,0,62,0,0,0
d2f.o,0.078819%,56,0,56,0,0,0
dcmpgt.o,0.076004%,54,0,54,0,0,0
ffixi.o,0.070374%,50,0,50,0,0,0
dfixui.o,0.070374%,50,0,50,0,0,0
init.o,0.067559%,48,0,48,0,0,0
ffixui.o,0.056299%,40,0,40,0,0,0
f2d.o,0.053484%,38,0,38,0,0,0
memseta.o,0.050669%,36,0,36,0,0,0
llsshr.o,0.050669%,36,0,36,0,0,0
dflti.o,0.047854%,34,0,34,0,0,0
llushr.o,0.045039%,32,0,32,0,0,0
llshl.o,0.042224%,30,0,30,0,0,0
handlers.o,0.042224%,30,0,30,0,0,0
fcmplt.o,0.039409%,28,0,28,0,0,0
fcmple.o,0.039409%,28,0,28,0,0,0
fcmpgt.o,0.039409%,28,0,28,0,0,0
fcmpge.o,0.039409%,28,0,28,0,0,0
dfltui.o,0.036594%,26,0,26,0,0,0
fflti.o,0.025335%,18,0,18,0,0,0
ffltui.o,0.014075%,10,0,10,0,0,0
entry9a.o,0.011260%,8,0,8,0,0,0
entry2.o,0.011260%,8,0,8,0,0,0
entry5.o,0.005630%,4,0,4,0,0,0
