File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-099219.o,94.008026%,68153,11439,67906,90,157,11282
mf_w.l,2.397341%,1738,0,1738,0,0,0
startup_at32f415.o,0.557264%,404,1024,36,368,0,1024
dadd.o,0.460709%,334,0,334,0,0,0
mc_w.l,0.320013%,232,0,232,0,0,0
dmul.o,0.314496%,228,0,228,0,0,0
depilogue.o,0.256562%,186,0,186,0,0,0
fadd.o,0.242769%,176,0,176,0,0,0
fepilogue.o,0.151730%,110,0,110,0,0,0
fmul.o,0.137937%,100,0,100,0,0,0
dfixi.o,0.085521%,62,0,62,0,0,0
d2f.o,0.077245%,56,0,56,0,0,0
dcmpgt.o,0.074486%,54,0,54,0,0,0
dcmpge.o,0.074486%,54,0,54,0,0,0
ffixi.o,0.068968%,50,0,50,0,0,0
dfixui.o,0.068968%,50,0,50,0,0,0
init.o,0.066210%,48,0,48,0,0,0
ffixui.o,0.055175%,40,0,40,0,0,0
f2d.o,0.052416%,38,0,38,0,0,0
memseta.o,0.049657%,36,0,36,0,0,0
llsshr.o,0.049657%,36,0,36,0,0,0
dflti.o,0.046898%,34,0,34,0,0,0
llushr.o,0.044140%,32,0,32,0,0,0
llshl.o,0.041381%,30,0,30,0,0,0
handlers.o,0.041381%,30,0,30,0,0,0
fcmplt.o,0.038622%,28,0,28,0,0,0
fcmple.o,0.038622%,28,0,28,0,0,0
fcmpgt.o,0.038622%,28,0,28,0,0,0
fcmpge.o,0.038622%,28,0,28,0,0,0
dfltui.o,0.035864%,26,0,26,0,0,0
fflti.o,0.024829%,18,0,18,0,0,0
ffltui.o,0.013794%,10,0,10,0,0,0
entry9a.o,0.011035%,8,0,8,0,0,0
entry2.o,0.011035%,8,0,8,0,0,0
entry5.o,0.005517%,4,0,4,0,0,0
